
# 
# Amundsen Sea Low (ASL) Index version 3
#   (derived from monthly ERA5 Reanalysis data)
# 
# Dr J. Scott Hosking
#   British Antarctic Survey
#   Twitter: @scotthosking
# 
# For more information see:
#   Website: https://scotthosking.com/asl_index
#   GitHub:  https://github.com/scotthosking/amundsen_sea_low_index
# 
# Column Labels:
#   time       = YYYY-MM-01 (monthly data)
#   SectorPres = Area-average sea level pressure over sector (170-298 E : 60-80 S)
#   ActCenPres = Actual central pressure of ASL
#   lon        = Longitudinal location of ASL (degrees East)
#   lat        = Latitudinal location of ASL
#   RelCenPres = Relative central pressure (ActCenPres 'minus' SectorPres)
#   DataSource = ERA5 (final data) or ERA5T (initial release data) from ECMWF
# 
# The ASL (low pressure system) detection algorithm may be improved over time. Therefore 
# it is recommended that the version number below is noted when using these data.
#   ASLi_version_id = 3.20240813
#   ASLi_software_version = 0.0.1
#   data_version = 20240813
# 
# 
time,lon,lat,ActCenPres,SectorPres,RelCenPres,DataSource
1975-04-01,205.5,-69.0,974.7975,984.3105,-9.5130005,ERA5
1975-05-01,207.25,-67.25,978.1325,987.9589,-9.826416,ERA5
1975-06-01,206.5,-66.5,973.85126,987.3424,-13.49115,ERA5
1975-07-01,209.25,-71.25,983.4331,994.2843,-10.851196,ERA5
1975-08-01,199.0,-75.5,972.0675,985.09045,-13.022949,ERA5
1975-09-01,223.25,-70.25,969.72815,977.62994,-7.9017944,ERA5
1975-10-01,270.25,-71.0,968.7125,975.9693,-7.256775,ERA5
1975-11-01,202.25,-72.75,981.6156,986.799,-5.1834106,ERA5
1975-12-01,287.5,-64.75,985.0275,990.5161,-5.4885864,ERA5
1976-01-01,196.0,-70.5,987.8819,995.479,-7.597107,ERA5
1976-02-01,236.75,-66.5,978.9344,986.61365,-7.6792603,ERA5
1976-03-01,226.5,-70.75,974.45435,984.55756,-10.10321,ERA5
1976-04-01,241.5,-69.25,969.8669,979.2973,-9.43042,ERA5
1976-05-01,280.75,-72.25,982.52374,990.6238,-8.100037,ERA5
1976-06-01,186.75,-65.75,982.03064,989.383,-7.352356,ERA5
1976-07-01,196.25,-72.5,981.02686,991.8487,-10.821838,ERA5
1976-08-01,253.5,-73.0,978.6625,987.4119,-8.749451,ERA5
1976-09-01,221.25,-73.0,968.70374,983.3253,-14.621582,ERA5
1976-10-01,253.0,-73.5,974.875,987.85187,-12.976868,ERA5
1976-11-01,196.0,-74.25,986.8681,990.05444,-3.1863403,ERA5
1976-12-01,233.25,-62.0,998.9256,1004.4506,-5.5250244,ERA5
1977-01-01,198.75,-68.0,992.02814,994.73737,-2.7092285,ERA5
1977-02-01,190.5,-69.5,983.59,987.369,-3.7789917,ERA5
1977-03-01,212.75,-66.5,975.01624,983.1419,-8.125671,ERA5
1977-04-01,264.25,-68.25,977.15936,988.66644,-11.50708,ERA5
1977-05-01,272.5,-71.5,978.8175,987.7943,-8.976807,ERA5
1977-06-01,250.75,-72.25,987.265,993.5154,-6.250366,ERA5
1977-07-01,210.0,-71.75,974.8787,988.5786,-13.69989,ERA5
1977-08-01,255.0,-70.0,974.85126,987.1117,-12.260437,ERA5
1977-09-01,275.0,-72.0,974.005,985.59,-11.585022,ERA5
1977-10-01,189.75,-69.75,970.5644,979.9773,-9.412903,ERA5
1977-11-01,255.25,-74.0,972.9888,984.8664,-11.8776245,ERA5
1977-12-01,256.75,-73.5,981.8212,991.04004,-9.218811,ERA5
1978-01-01,274.75,-72.75,981.51935,987.9036,-6.3842773,ERA5
1978-02-01,271.25,-71.0,978.67126,985.8823,-7.2110596,ERA5
1978-03-01,197.25,-70.0,978.59814,985.2015,-6.6033325,ERA5
1978-04-01,219.75,-69.0,981.5569,987.07495,-5.5180664,ERA5
1978-05-01,219.25,-65.5,978.2344,987.1847,-8.950317,ERA5
1978-06-01,206.0,-74.5,980.66565,985.6937,-5.028076,ERA5
1978-07-01,235.0,-71.0,990.4288,998.52216,-8.093384,ERA5
1978-08-01,249.0,-72.5,970.79877,983.33514,-12.536377,ERA5
1978-09-01,250.75,-72.25,974.6287,982.8168,-8.188049,ERA5
1978-10-01,250.25,-73.5,974.8663,983.3546,-8.488342,ERA5
1978-11-01,232.5,-73.5,981.71686,987.35297,-5.6361084,ERA5
1978-12-01,252.0,-66.0,977.41187,984.0072,-6.595337,ERA5
1979-01-01,220.25,-68.25,982.86127,986.2394,-3.3781128,ERA5
1979-02-01,195.75,-71.5,973.64435,982.8373,-9.192932,ERA5
